"Reference","Value","Qty","DNP","MOUSER_NO","MOUSER_NR"
"C1,C4,C5,C6,C7,C8,C9,C10,C11,C12,C21,C22,C29,C30,C31,C32,C39,C45","100n","18","","","667-ECH-U1C104JX5,963-MCASL105SB7104KF"
"C2,C3,C15,C17,C18,C19,C20,C33,C35,C36,C38,C40,C42,C43,C44","1u","15","","","963-LMK105BJ105MVHF"
"C13,C23,C24,C25,C26","10u","5","","","963-LMK107BBJ106MALT"
"C14,C16","16p","2","","","81-GCM1555C1H160FA6D"
"C27","180p","1","","","81-GCM1555C1H181JA6D"
"C28,C34,C37,C41","10n","4","","","81-GRM155R61A103KA1D"
"D1","LED Status 1","1","",""," 645-598-8N80-107F"
"D2","LED Status 2","1","",""," 645-598-8N80-107F"
"D3","LED Power","1","",""," 645-598-8N80-107F"
"FB1,FB2","120R","2","","","81-BLM15PX121SH1D "
"J1,J2,J4,J6,J10,J13","Conn_01x02","6","","",""
"J3","Conn_ARM_JTAG_SWD_10","1","",""," 474-PRT-15362"
"J5,J7,J8,J9,J11","Conn_01x03","5","","",""
"J12","Conn_01x04","1","","",""
"J14","USB_B_Micro","1","","","538-47346-1001"
"JP1,JP2","Jumper_3_Open","2","","",""
"R1,R3,R5,R6,R7,R8,R9,R10,R11,R12,R13","10k","11","",""," 71-CRCW040210K0FKEDC ,652-CR0402-JW-103GLF"
"R2,R4,R22","220","3","",""," 652-CR0402FX-2200GLF "
"R14","470","1","","","667-ERA-2VEB4700X"
"R15,R16","22","2","",""," 652-CHP0603QJW-220E "
"R17","0","1","",""," 710-560112110001 "
"R19,R20,R21","100k","3","","","652-CR0402JW-104GLF"
"RV1,RV2","Potentiometer","2","","","652-3224W-1-503E"
"SW1","SW_Push","1","",""," 506-FSM2JSMAATR "
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10","TestPoint","10","","",""
"U1","STM32H725RGVx","1","","",""
"U2","CS5343-CZZ","1","",""," 777-CS5343-CZZ "
"U3","CS4344","1","",""," 777-CS4344-CZZR"
"U4,U5","OPA1671","2","",""," 595-OPA1671IDBVT"
"U6","TLV75710PDBV","1","","",""
"U7","TPS79633DCQ","1","","595-TPS79633DCQ",""
"Y1","32M","1","",""," 815-11W32-8D1XT "
